"id","homeID","awayID","season","status","roundID","game_week","revised_game_week","homeGoalCount","awayGoalCount","totalGoalCount","team_a_corners","team_b_corners","totalCornerCount","team_a_offsides","team_b_offsides","team_a_yellow_cards","team_b_yellow_cards","team_a_red_cards","team_b_red_cards","team_a_shotsOnTarget","team_b_shotsOnTarget","team_a_shotsOffTarget","team_b_shotsOffTarget","team_a_shots","team_b_shots","team_a_fouls","team_b_fouls","team_a_possession","team_b_possession","refereeID","coach_a_ID","coach_b_ID","stadium_name","stadium_location","team_a_cards_num","team_b_cards_num","odds_ft_1","odds_ft_x","odds_ft_2","odds_ft_over05","odds_ft_over15","odds_ft_over25","odds_ft_over35","odds_ft_over45","odds_ft_under05","odds_ft_under15","odds_ft_under25","odds_ft_under35","odds_ft_under45","odds_btts_yes","odds_btts_no","odds_team_a_cs_yes","odds_team_a_cs_no","odds_team_b_cs_yes","odds_team_b_cs_no","odds_doublechance_1x","odds_doublechance_12","odds_doublechance_x2","odds_1st_half_result_1","odds_1st_half_result_x","odds_1st_half_result_2","odds_2nd_half_result_1","odds_2nd_half_result_x","odds_2nd_half_result_2","odds_dnb_1","odds_dnb_2","odds_corners_over_75","odds_corners_over_85","odds_corners_over_95","odds_corners_over_105","odds_corners_over_115","odds_corners_under_75","odds_corners_under_85","odds_corners_under_95","odds_corners_under_105","odds_corners_under_115","odds_corners_1","odds_corners_x","odds_corners_2","odds_team_to_score_first_1","odds_team_to_score_first_x","odds_team_to_score_first_2","odds_win_to_nil_1","odds_win_to_nil_2","odds_1st_half_over05","odds_1st_half_over15","odds_1st_half_over25","odds_1st_half_over35","odds_1st_half_under05","odds_1st_half_under15","odds_1st_half_under25","odds_1st_half_under35","odds_2nd_half_over05","odds_2nd_half_over15","odds_2nd_half_over25","odds_2nd_half_over35","odds_2nd_half_under05","odds_2nd_half_under15","odds_2nd_half_under25","odds_2nd_half_under35","odds_btts_1st_half_yes","odds_btts_1st_half_no","odds_btts_2nd_half_yes","odds_btts_2nd_half_no","id_ft_1","id_ft_x","id_ft_2","id_ft_over05","id_ft_over15","id_ft_over25","id_ft_over35","id_ft_over45","id_btts_yes","id_btts_no","id_team_a_cs_yes","id_team_b_cs_yes","id_team_a_cs_no","id_team_b_cs_no","overallGoalCount","ht_goals_team_a","ht_goals_team_b","goals_2hg_team_a","goals_2hg_team_b","GoalCount_2hg","HTGoalCount","date_unix","winningTeam","no_home_away","btts_potential","btts_fhg_potential","btts_2hg_potential","goalTimingDisabled","attendance","o45_potential","o35_potential","o25_potential","o15_potential","o05_potential","o15HT_potential","o05HT_potential","corners_potential","offsides_potential","cards_potential","avg_potential","home_url","home_image","home_name","away_url","away_image","away_name","home_ppg","away_ppg","pre_match_home_ppg","pre_match_away_ppg","u45_potential","u35_potential","u25_potential","u15_potential","u05_potential","corners_o85_potential","corners_o95_potential","corners_o105_potential","match_url","competition_id","matches_completed_minimum","over05","over15","over25","over35","over45","over55","btts"
2503,150,156,"2016/2017","complete",19,36,-1,0,2,2,7,4,11,0,4,3,1,0,0,7,6,11,7,18,13,10,8,58,42,-1,214,206,"KCOM Stadium","Walton Street / Anlaby Road, Hull",3,1,1.67,3.99,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",2,0,0,0,2,2,0,1494079200,156,0,48,12,30,0,"22480",12,24,49,85,100,22,61,7.82,3.51,4.5,2.75,"/clubs/england/hull-city-afc","teams/england-hull-city-afc.png","Hull City","/clubs/england/sunderland-afc","teams/england-sunderland-afc.png","Sunderland",1.47,0.53,1.65,0.44,88,76,52,16,0,74,64,45,"/england/hull-city-afc-vs-sunderland-afc-h2h-stats#2503",9,38,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2504,108,155,"2016/2017","complete",19,36,-1,3,0,3,10,1,11,5,3,0,0,0,0,5,6,8,4,13,10,7,10,43,57,-1,167,205,"King Power Stadium","Filbert Way, Leicester, Leicestershire",0,0,1.67,4.03,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",3,1,0,2,0,2,1,1494079200,108,0,41,10,29,0,"31628",10,31,51,78,91,31,69,9.82,3.19,3.25,2.72,"/clubs/england/leicester-city-fc","teams/england-leicester-city-fc.png","Leicester City","/clubs/england/watford-fc","teams/england-watford-fc.png","Watford",1.79,0.63,1.88,0.75,91,69,51,22,10,68,55,43,"/england/leicester-city-fc-vs-watford-fc-h2h-stats#2504",9,38,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2505,154,144,"2016/2017","complete",19,36,-1,1,0,1,9,5,14,0,0,0,0,0,0,5,4,5,4,10,8,5,13,40,60,-1,215,201,"Liberty Stadium","Normandy Road, Swansea",0,0,3.54,3.54,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",1,1,0,0,0,0,1,1494088200,154,0,53,24,29,0,"20827",18,38,59,80,88,35,71,9.94,2.94,3.59,2.94,"/clubs/wales/swansea-city-afc","teams/wales-swansea-city-afc.png","Swansea City","/clubs/england/everton-fc","teams/england-everton-fc.png","Everton",1.42,0.95,1.24,1.06,82,62,41,21,12,74,59,46,"/england/swansea-city-afc-vs-everton-fc-h2h-stats#2505",9,38,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2506,151,146,"2016/2017","complete",19,36,-1,0,0,0,3,6,9,1,3,1,3,0,0,8,0,6,3,14,3,9,3,64,36,-1,85,204,"Anfield","Anfield Road, Liverpool",1,3,1.6,4.29,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",0,0,0,0,0,0,0,1494160200,-1,0,62,33,24,0,"53159",21,39,68,82,91,56,79,11.35,4,3.06,3.18,"/clubs/england/liverpool-fc","teams/england-liverpool-fc.png","Liverpool","/clubs/england/southampton-fc","teams/england-southampton-fc.png","Southampton",2.16,1.16,2.18,1.06,80,62,32,18,9,68,52,41,"/england/liverpool-fc-vs-southampton-fc-h2h-stats#2506",9,38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2507,59,149,"2016/2017","complete",19,36,-1,2,0,2,5,9,14,2,4,1,0,0,0,6,6,4,7,10,13,13,8,50,50,-1,145,208,"Emirates Stadium","Queensland Road, London",1,0,2.13,3.4,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",2,0,0,2,0,2,0,1494169200,59,0,50,19,22,0,"60055",7,31,57,81,91,38,72,10.57,6.07,4.38,2.72,"/clubs/england/arsenal-fc","teams/england-arsenal-fc.png","Arsenal","/clubs/england/manchester-united-fc","teams/england-manchester-united-fc.png","Manchester United",2.37,1.84,2.25,2.13,94,69,44,19,10,63,51,48,"/england/arsenal-fc-vs-manchester-united-fc-h2h-stats#2507",9,38,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2508,152,147,"2016/2017","complete",19,36,-1,3,0,3,8,1,9,0,2,0,2,0,0,5,2,16,1,21,3,5,19,53,47,-1,209,216,"Stamford Bridge","Fulham Road, London",0,2,1.17,8.7,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",3,2,0,1,0,1,2,1494270000,152,0,49,25,22,0,"41500",13,31,62,74,88,49,68,8.97,3.1,3.93,2.75,"/clubs/england/chelsea-fc","teams/england-chelsea-fc.png","Chelsea","/clubs/england/middlesbrough-fc","teams/england-middlesbrough-fc.png","Middlesbrough",2.68,0.53,2.63,0.59,88,70,39,27,12,61,54,41,"/england/chelsea-fc-vs-middlesbrough-fc-h2h-stats#2508",9,38,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2509,146,59,"2016/2017","complete",19,26,-1,0,2,2,5,5,10,1,1,1,1,0,0,7,7,10,7,17,14,7,5,49,51,-1,204,145,"St. Mary's Stadium","Entebbe Road, Kitende",1,1,3.76,3.7,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",2,0,0,0,2,2,0,1494441900,59,0,58,19,30,0,"31474",15,39,60,76,88,30,63,10.57,3.64,3.09,2.83,"/clubs/england/southampton-fc","teams/england-southampton-fc.png","Southampton","/clubs/england/arsenal-fc","teams/england-arsenal-fc.png","Arsenal",1.26,1.58,1.44,1.41,85,61,40,25,13,73,55,49,"/england/southampton-fc-vs-arsenal-fc-h2h-stats#2509",9,38,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2510,144,155,"2016/2017","complete",19,37,-1,1,0,1,9,8,17,2,1,0,3,0,0,8,3,6,6,14,9,7,11,58,42,-1,201,205,"Goodison Park","Goodison Road, Liverpool",0,3,1.45,4.84,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",1,0,0,1,0,1,0,1494614700,144,0,43,12,15,0,"38550",12,31,49,83,97,29,69,10.35,3.8,3.82,2.94,"/clubs/england/everton-fc","teams/england-everton-fc.png","Everton","/clubs/england/watford-fc","teams/england-watford-fc.png","Watford",2.26,0.63,2.22,0.71,89,69,52,18,3,68,55,41,"/england/everton-fc-vs-watford-fc-h2h-stats#2510",9,38,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2511,142,152,"2016/2017","complete",19,37,-1,0,1,1,5,8,13,4,1,3,1,0,0,2,6,2,13,4,19,12,8,39,61,-1,200,209,"The Hawthorns (West Bromwich)","Halfords Lane, West Bromwich",3,1,7.96,4.59,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",1,0,0,0,1,1,0,1494615600,152,0,44,17,20,0,"25367",3,28,50,78,97,33,81,8.67,3.34,3.78,2.59,"/clubs/england/west-bromwich-albion-fc","teams/england-west-bromwich-albion-fc.png","West Bromwich Albion","/clubs/england/chelsea-fc","teams/england-chelsea-fc.png","Chelsea",1.53,2.21,1.61,2.17,97,72,50,23,3,63,56,43,"/england/west-bromwich-albion-fc-vs-chelsea-fc-h2h-stats#2511",9,38,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2512,93,108,"2016/2017","complete",19,37,-1,2,1,3,9,3,12,0,0,3,3,0,0,9,5,10,4,19,9,11,14,61,39,-1,72,167,"Etihad Stadium","Rowsley Street, Manchester",3,3,1.27,6.81,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",3,2,1,0,0,0,3,1494675000,93,0,64,11,32,0,"54407",14,34,60,80,91,31,72,12.67,3.52,4.51,2.83,"/clubs/england/manchester-city-fc","teams/england-manchester-city-fc.png","Manchester City","/clubs/england/leicester-city-fc","teams/england-leicester-city-fc.png","Leicester City",2.11,0.53,2,0.56,86,66,40,20,9,82,66,52,"/england/manchester-city-fc-vs-leicester-city-fc-h2h-stats#2512",9,38,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
2513,148,145,"2016/2017","complete",19,37,-1,2,1,3,7,1,8,3,5,0,0,0,0,5,3,5,7,10,10,6,10,59,41,-1,207,197,"Vitality Stadium","Dean Court, Kings Park, Bournemouth, Dorset",0,0,2,3.74,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",3,1,0,1,1,2,1,1494684000,148,0,53,23,33,0,"11388",14,39,61,78,89,42,70,8.89,3.72,3.27,2.95,"/clubs/england/afc-bournemouth","teams/england-afc-bournemouth.png","AFC Bournemouth","/clubs/england/burnley-fc","teams/england-burnley-fc.png","Burnley",1.63,0.37,1.56,0.39,86,61,39,22,12,72,61,53,"/england/afc-bournemouth-vs-burnley-fc-h2h-stats#2513",9,38,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
